protocol,factors,max_iter,reg,w0,alpha,top_k,train_interactions,test_interactions,user_count,item_count,final_loss,hr_at_k,ndcg_at_k,runtime_seconds
offline,12,1,0.1,1.0,0.5,10,8120,1880,2979,4980,7297.863872532293,0.0047872340425531915,0.002075075711503037,1.1933767795562744
offline,12,2,0.1,1.0,0.5,10,8120,1880,2979,4980,1671.5338040842985,0.00425531914893617,0.0017408139395607921,2.385957956314087
offline,12,3,0.1,1.0,0.5,10,8120,1880,2979,4980,1189.8334437814178,0.0031914893617021275,0.0013663791436214932,3.566107988357544
offline,12,5,0.1,1.0,0.5,10,8120,1880,2979,4980,974.619783478013,0.005319148936170213,0.002151927567346038,5.937774181365967
offline,12,8,0.1,1.0,0.5,10,8120,1880,2979,4980,893.6197479798329,0.0047872340425531915,0.002019188966530959,9.502490997314453
offline,12,10,0.1,1.0,0.5,10,8120,1880,2979,4980,875.276299912928,0.005319148936170213,0.0023922459318737135,11.987696886062622
offline,12,15,0.1,1.0,0.5,10,8120,1880,2979,4980,858.3178630508841,0.006382978723404255,0.002825762816441743,17.85742211341858
offline,12,20,0.1,1.0,0.5,10,8120,1880,2979,4980,852.0956663802766,0.006382978723404255,0.003307566211357123,23.872522354125977
