protocol,factors,max_iter,reg,w0,alpha,top_k,train_interactions,test_interactions,user_count,item_count,final_loss,hr_at_k,ndcg_at_k,runtime_seconds
offline,12,5,0.1,1.0,0.0,10,8120,1880,2979,4980,961.6302442113118,0.005319148936170213,0.0026374839964540217,5.9152679443359375
offline,12,5,0.1,1.0,0.1,10,8120,1880,2979,4980,964.0793493020709,0.005319148936170213,0.0026496509399511967,5.850621938705444
offline,12,5,0.1,1.0,0.25,10,8120,1880,2979,4980,967.9105809075321,0.005319148936170213,0.002424869173818351,5.818281888961792
offline,12,5,0.1,1.0,0.4,10,8120,1880,2979,4980,971.8984302357161,0.005319148936170213,0.0022254265866703186,5.8977251052856445
offline,12,5,0.1,1.0,0.5,10,8120,1880,2979,4980,974.619783478013,0.005319148936170213,0.002151927567346038,5.874352216720581
offline,12,5,0.1,1.0,0.75,10,8120,1880,2979,4980,981.4899222757512,0.005319148936170213,0.002028930037128937,5.925189971923828
offline,12,5,0.1,1.0,1.0,10,8120,1880,2979,4980,988.0428261682239,0.003723404255319149,0.0014576940712245523,5.889117002487183
