protocol,factors,max_iter,reg,w0,alpha,top_k,w_new,online_iter,train_interactions,test_interactions,user_count,item_count,final_loss,hr_at_k,ndcg_at_k,runtime_seconds
online,12,5,0.1,1.0,0.0,10,4.0,1,9000,1000,764,3578,982.0513076659071,0.011,0.0064720523456196066,7.355370998382568
online,12,5,0.1,1.0,0.1,10,4.0,1,9000,1000,764,3578,984.2187698827793,0.011,0.006515876096458458,7.46198582649231
online,12,5,0.1,1.0,0.25,10,4.0,1,9000,1000,764,3578,987.8178647687968,0.011,0.006597164707731158,7.454893112182617
online,12,5,0.1,1.0,0.4,10,4.0,1,9000,1000,764,3578,991.2421427203743,0.011,0.005901023275605783,7.467864036560059
online,12,5,0.1,1.0,0.5,10,4.0,1,9000,1000,764,3578,993.2850281173903,0.013,0.0060055529787094,7.4945228099823
online,12,5,0.1,1.0,0.75,10,4.0,1,9000,1000,764,3578,998.5654584749275,0.012,0.005136256026036311,7.513555288314819
online,12,5,0.1,1.0,1.0,10,4.0,1,9000,1000,764,3578,1010.1164696248765,0.011,0.0039707096994685874,7.582152843475342
