protocol,factors,max_iter,reg,w0,alpha,top_k,train_interactions,test_interactions,user_count,item_count,final_loss,hr_at_k,ndcg_at_k,runtime_seconds
offline,4,5,0.1,1.0,0.5,10,8120,1880,2979,4980,1263.3673638189566,0.007978723404255319,0.003946907324650176,1.4638338088989258
offline,8,5,0.1,1.0,0.5,10,8120,1880,2979,4980,1041.6143426753067,0.0031914893617021275,0.0015303077484911084,3.456981897354126
offline,12,5,0.1,1.0,0.5,10,8120,1880,2979,4980,974.619783478013,0.005319148936170213,0.002151927567346038,5.9977500438690186
offline,16,5,0.1,1.0,0.5,10,8120,1880,2979,4980,953.4153707076388,0.0015957446808510637,0.0007248065464408681,9.354729890823364
offline,24,5,0.1,1.0,0.5,10,8120,1880,2979,4980,932.2714674158693,0.003723404255319149,0.0018469489515461853,17.941258907318115
offline,32,5,0.1,1.0,0.5,10,8120,1880,2979,4980,927.764190201406,0.0026595744680851063,0.0012944316867216307,32.49809789657593
