protocol,factors,max_iter,reg,w0,alpha,top_k,w_new,online_iter,train_interactions,test_interactions,user_count,item_count,final_loss,hr_at_k,ndcg_at_k,runtime_seconds
online,4,5,0.1,1.0,0.5,10,4.0,1,9000,1000,764,3578,1081.1760659507925,0.007,0.0023819839643903686,3.8415510654449463
online,8,5,0.1,1.0,0.5,10,4.0,1,9000,1000,764,3578,2715.5450486392297,0.01,0.003715843130723001,6.2248711585998535
online,12,5,0.1,1.0,0.5,10,4.0,1,9000,1000,764,3578,991.9698570955029,0.014,0.006231552254617148,7.497837066650391
online,16,5,0.1,1.0,0.5,10,4.0,1,9000,1000,764,3578,1174.0822424379087,0.015,0.00684061838088258,9.560303926467896
online,24,5,0.1,1.0,0.5,10,4.0,1,9000,1000,764,3578,1060.993598286157,0.011,0.0063664925983511235,14.959248065948486
online,32,5,0.1,1.0,0.5,10,4.0,1,9000,1000,764,3578,1096.0466613570106,0.02,0.009745286915201441,21.815023183822632
