protocol,factors,max_iter,reg,w0,alpha,top_k,train_interactions,test_interactions,user_count,item_count,final_loss,hr_at_k,ndcg_at_k,runtime_seconds
offline,12,5,0.1,0.25,0.5,10,8120,1880,2979,4980,875.5837150673249,0.0031914893617021275,0.0013948469488880935,6.331468105316162
offline,12,5,0.1,0.5,0.5,10,8120,1880,2979,4980,910.8065181889283,0.003723404255319149,0.00150473508422404,6.249466180801392
offline,12,5,0.1,1.0,0.5,10,8120,1880,2979,4980,974.619783478013,0.005319148936170213,0.002151927567346038,6.0457141399383545
offline,12,5,0.1,2.0,0.5,10,8120,1880,2979,4980,1110.4539427210507,0.005319148936170213,0.0022239128707754437,6.119700193405151
offline,12,5,0.1,4.0,0.5,10,8120,1880,2979,4980,1396.923724420682,0.00425531914893617,0.0018584671254199938,6.367085933685303
offline,12,5,0.1,8.0,0.5,10,8120,1880,2979,4980,1900.1670177319547,0.006382978723404255,0.0025918335647675535,5.9146728515625
